schema_version,model,seed,season,spearman,slot_weeks
1,random,19,2022,0.0200667022179,54
1,regressed-rate,-1,2022,0.270587882478,54
1,shipped,-1,2022,0.382355068634,54
1,vegas-environment,-1,2022,0.362039706605,54
1,within-player,0,2022,0.375211579107,54
1,within-player,1,2022,0.377718582158,54
1,within-player,2,2022,0.376562659445,54
1,within-player,3,2022,0.377950555475,54
1,within-player,4,2022,0.377045886269,54
1,within-player,5,2022,0.376838041719,54
1,within-player,6,2022,0.375954041159,54
1,within-player,7,2022,0.378675993918,54
1,within-player,8,2022,0.376065944759,54
1,within-player,9,2022,0.380104111516,54
1,within-player,10,2022,0.378050170574,54
1,within-player,11,2022,0.375870544977,54
1,within-player,12,2022,0.381505135735,54
1,within-player,13,2022,0.37961548603,54
1,within-player,14,2022,0.376025982544,54
1,within-player,15,2022,0.377941676482,54
1,within-player,16,2022,0.377734661795,54
1,within-player,17,2022,0.378598735301,54
1,within-player,18,2022,0.382020147727,54
1,within-player,19,2022,0.377959316222,54
1,base-rate-only,-1,2023,0.328297039371,54
1,current-season-rate,-1,2023,0.226427761994,53
1,historical-rate,-1,2023,0.261176607813,54
1,no-vegas,-1,2023,0.377054869962,54
1,player-vegas,-1,2023,0.308085820201,54
1,random,0,2023,0.0440143130642,54
1,random,1,2023,0.00265307171618,54
1,random,2,2023,-0.028188395363,54
1,random,3,2023,-0.0139609019822,54
1,random,4,2023,0.0283843304031,54
1,random,5,2023,-0.019589342366,54
1,random,6,2023,-0.0126531436642,54
1,random,7,2023,-0.0212469887291,54
1,random,8,2023,0.0195234763034,54
1,random,9,2023,0.0153792281037,54
1,random,10,2023,0.0025431037124,54
1,random,11,2023,-0.00926297789426,54
1,random,12,2023,0.00673913873342,54
1,random,13,2023,0.00554518432391,54
1,random,14,2023,0.0510057721621,54
1,random,15,2023,-0.00271207496599,54
1,random,16,2023,-0.00171888698469,54
1,random,17,2023,-0.0024009557955,54
1,random,18,2023,0.0286710633295,54
1,random,19,2023,-0.0047592468231,54
1,regressed-rate,-1,2023,0.241178332064,54
1,shipped,-1,2023,0.372280704695,54
1,vegas-environment,-1,2023,0.342596587867,54
1,within-player,0,2023,0.366236797016,54
1,within-player,1,2023,0.368018827449,54
1,within-player,2,2023,0.367973448416,54
1,within-player,3,2023,0.363415264047,54
1,within-player,4,2023,0.366643377033,54
1,within-player,5,2023,0.363539193608,54
1,within-player,6,2023,0.366738717979,54
1,within-player,7,2023,0.367112951488,54
1,within-player,8,2023,0.365028224674,54
1,within-player,9,2023,0.36620538752,54
1,within-player,10,2023,0.366486295146,54
1,within-player,11,2023,0.364928125488,54
1,within-player,12,2023,0.366781275996,54
1,within-player,13,2023,0.367700099418,54
1,within-player,14,2023,0.365792022676,54
1,within-player,15,2023,0.367756395199,54
1,within-player,16,2023,0.365257318311,54
1,within-player,17,2023,0.363310988523,54
1,within-player,18,2023,0.36334296023,54
1,within-player,19,2023,0.363567750902,54
1,base-rate-only,-1,2024,0.351233599803,54
1,current-season-rate,-1,2024,0.263191165405,53
1,historical-rate,-1,2024,0.295600104075,54
1,no-vegas,-1,2024,0.390870918503,54
