schema_version,population,axis,level,horizon,n,outcomes_known,outcome_coverage,players,seasons,forecast_mean,planning_mean,actual_mean,forecast_over_actual,played_fraction,deviance_positive_rates,zero_lam_n,zero_lam_positive_outcome_n,zero_lam_outcome_tds
1,available,rate_bin,"(0.6, 0.8]",4-6,5992,5383,0.898364485981,345,15,0.68638935305,0.637004729881,0.543005758871,1.26425259425,0.911016161991,1.1346207961,0,0,0
1,available,rate_bin,"(0.8, 1.0]",4-6,3197,2875,0.89928057554,270,15,0.893942120392,0.829569339601,0.637217391304,1.40274085099,0.827826086957,1.26983660957,0,0,0
1,available,rate_bin,"(1.0, inf]",4-6,15084,13837,0.91732962079,224,15,1.71862040726,1.59492052255,1.39538917395,1.23993875519,0.839416058394,1.36630450506,0,0,0
1,available,availability,full,4-6,220096,193238,0.877971430648,2411,15,0.292848995058,0.271767183457,0.295423260435,1.01848994999,0.747363355034,0.772368375486,0,0,0
1,available,overall,all,7+,363276,304284,0.837611072573,2331,15,0.29494021244,0.252986190972,0.301221884818,1.00882074374,0.75512021664,0.818298052479,0,0,0
1,available,position,QB,7+,51416,51416,1,260,15,0.816629146393,0.701365521239,0.777189979773,1.05074585062,0.549770499455,1.47187264404,0,0,0
1,available,position,RB,7+,76078,76078,1,564,15,0.250326563339,0.21490103184,0.259023633639,0.966423641818,0.776886879256,0.782216233684,0,0,0
1,available,position,WR,7+,110781,110781,1,826,15,0.197731574696,0.169716247824,0.20728283731,0.953921594585,0.851283162275,0.697659760407,0,0,0
1,available,position,TE,7+,66009,66009,1,443,15,0.144350510627,0.123940013446,0.136769228439,1.05543119805,0.728597615477,0.553262557996,0,0,0
1,available,rate_bin,"(-0.001, 0.05]",7+,36939,30283,0.819811039822,1227,15,0.0391168705356,0.0336707586484,0.0950037975102,0.412318461118,0.628537463263,0.55551687699,0,0,0
